,,,,,,,,
,Year,Salary (14),Type of Organization/Industry (15),Location of employment (17),,,,
," 2,014 "," $	50,000 ",Start-Up ,"Ann Arbor, MI, USA",,,,
," 2,014 "," $	74,400 ","Automotive/Transportation, ","Dearborn, MI, USA",,,,
," 2,014 "," $	62,500 ",Government/Government Library/Archives,"Washington, DC, USA",,,,
," 2,014 "," $	77,000 ",Technology - Computer Hardware/Software/Internet,"Atlanta, GA, USA",,,,
," 2,014 "," $	75,000 ",Technology - Computer Hardware/Software/Internet,"Ann Arbor, MI, USA",,,,
," 2,014 ","42,500","Academic Library/Archives, ","Irvine, CA, USA",,,,
," 2,014 "," $	37,000 ",Public Library,"Chelsea, MI, USA",,,,
," 2,014 "," $	90,000 ",Automotive/Transportation,"Warren, MI, USA",,,,
," 2,014 "," $	120,000 ",Consulting,"Chicago, IL, USA",,,,
," 2,014 "," $	65,000 ",Technology - Computer Hardware/Software/Internet,"Ann Arbor, MI, USA",,,,
," 2,014 "," $	55,000 ",Marketing/Interactive Design Agency,"Cleveland, OH, USA",,,,
," 2,014 ","full time equivalent $40,000-$45,000",Academic Library/Archives,"Ann Arbor, MI, USA",,,,
," 2,014 "," $	150,000 ",Other - Proprietary Financial,"Chicago, IL, USA",,,,
," 2,014 "," $	75,000 ",Technology - Computer Hardware/Software/Internet,"Westford, MA, USA",,,,
," 2,014 "," $	95,000 ","Entertainment, ","San Bruno, CA, USA",,,,
," 2,014 ","$75,000",Technology - Computer Hardware/Software/Internet,"Austin, TX, USA",,,,
," 2,014 ","$90,000","Start-Up, ","New York, NY, USA",,,,
," 2,014 ","$75,000",Technology - Computer Hardware/Software/Internet,"Austin, TX, USA",,,,
," 2,014 ","$52,000","Government/Government Library/Archives, ","Ann Arbor, MI, USA",,,,
," 2,014 "," $	85,000 ","Technology - Computer Hardware/Software/Internet, Other - Enterprise Software","Atlanta, GA, USA",,,,
," 2,014 "," $	58,000 ",Technology - Computer Hardware/Software/Internet,"Rochester Hills, MI, USA",,,,
," 2,014 "," $	82,000 "," Technology - Computer Hardware/Software/Internet, University/College, Other - ICTD","Abu Dhabi, United Arab Emirates",,,,
," 2,014 "," $	20,000 ",University/College,"Albany, NY, USA",,,,
," 2,014 "," $	120,000 ",Technology - Computer Hardware/Software/Internet,Santa Clara,,,,
," 2,014 "," $	75,000 ",Consumer Goods,"Detroit, MI, USA",,,,
," 2,014 "," $	80,000 ",Technology - Computer Hardware/Software/Internet,"Troy, MI, USA",,,,
," 2,014 "," $	47,500 ",Academic Library/Archives,"Valparaiso, IN, USA",,,,
," 2,014 "," $	75,000 ",Corporate/Special/Law Library,"Minden, NV, USA",,,,
," 2,014 "," $	44,000 ",Academic Library/Archives,"Walla Walla, WA, USA",,,,
," 2,014 "," $	54,000 ",Research,"Washington, DC, USA",,,,
," 2,014 "," $	45,000 ",Multimedia/Publishing,"Madison, WI, USA",,,,
," 2,014 "," $	52,500 ",Academic Library/Archives,"Cambridge, MA, USA",,,,
," 2,014 "," $	77,500 ",start up,"Irvine, CA, USA",,,,
," 2,014 "," $	75,000 ",health/healthcare,"Watertown, MA, USA",,,,
," 2,014 "," $	110,000 ",start up,"San Francisco, CA, USA",,,,
," 2,014 "," $	42,000 ",Technology - Computer Hardware/Software/Internet,"Framingham, MA, USA",,,,
," 2,014 "," $	60,000 ",Academic Library/Archives,"Newark, NJ, USA",,,,
," 2,014 "," $	35,000 ",Museum/Historical Society/Archives,"Dearborn, MI, USA",,,,
," 2,014 ","$64,000",University/College,"Dearborn, MI, USA",,,,
," 2,014 "," $	65,000 ", Automotive/Transportation,"Detroit, MI, USA",,,,
," 2,014 "," $	60,000 ",Marketing/Interactive Design Agency,"San Mateo, CA, USA",,,,
," 2,014 "," $	60,000 ",Marketing/Interactive Design Agency,"Ann Arbor, MI, USA",,,,
," 2,014 ","72,500","Environmental/Natural Resources, ","Redlands, CA, USA",,,,
